-72.940 -13.595 
697 0.000 -0.21226 
311 5.869 0.21180 
645 0.000 -0.12549 
6 0.000 -0.19650 
843 10.000 1.17073 
618 0.000 -0.03595 
642 9.860 -0.00137 
518 8.959 -0.00388 
400 10.000 0.17860 
362 8.362 -0.14391 
718 10.000 0.09670 
801 10.000 0.75434 
677 0.000 -0.18873 
152 10.000 0.09631 
32 9.991 0.01666 
63 10.000 0.26105 
187 2.581 0.06281 
700 10.000 0.46611 
567 10.000 0.17559 
1 4.179 0.13467 
5 10.000 0.29693 
261 10.000 0.43383 
655 10.000 0.02512 
857 10.000 0.73170 
181 10.000 0.25604 
341 0.509 -0.01651 
667 0.000 -0.47561 
879 10.000 0.89760 
653 10.000 0.21273 
313 10.000 0.38254 
885 10.000 1.02918 
186 0.000 -0.07146 
157 0.000 -0.29154 
503 0.160 -0.05836 
828 10.000 1.05446 
675 10.000 0.16079 
904 10.000 1.19507 
191 1.651 -0.05553 
394 6.370 -0.05325 
706 8.982 0.04497 
868 10.000 0.74169 
547 10.000 0.18735 
738 8.390 0.05092 
932 10.000 1.26191 
233 1.339 0.28102 
926 10.000 1.25726 
551 0.000 -0.16347 
933 10.000 1.14918 
494 9.835 -0.08756 
939 10.000 0.10258 
799 10.000 0.46731 
594 0.000 -0.17268 
657 10.000 0.32451 
995 10.000 0.74537 
935 10.000 1.25273 
5  0 1 2 3 4 
5  5 6 7 8 9 
5  10 11 12 13 14 
5  15 16 17 18 19 
5  20 21 22 23 24 
5  25 26 27 28 29 
5  30 31 32 33 34 
5  35 36 37 38 39 
5  40 41 42 43 44 
5  45 46 47 48 49 
5  50 51 52 53 54 
5  55 56 57 58 59 
5  60 61 62 63 64 
5  65 66 67 68 69 
5  70 71 72 73 74 
5  75 76 77 78 79 
5  80 81 82 83 84 
5  85 86 87 88 89 
5  90 91 92 93 94 
5  95 96 97 98 99 
75  1 13 10 7 26 18 68 3 70 17 76 0 81 10 100 12 112 2 120 2 135 11 157 16 176 3 179 12 181 17 184 2 186 8 212 1 218 10 251 16 252 15 274 3 275 14 286 5 300 9 319 17 321 18 331 11 332 9 337 4 348 4 368 4 383 4 384 13 387 3 416 4 419 11 423 6 425 3 427 7 440 14 441 2 444 3 464 1 471 19 480 12 491 11 493 6 498 5 511 6 515 18 523 11 524 9 561 17 575 16 578 6 595 9 596 17 604 9 624 13 634 9 651 8 657 4 679 7 707 4 716 2 746 12 751 2 757 16 760 16 763 7 784 18 787 12 790 3 797 17 
 0.0009 0.0021 0.0020 0.0019 0.0018 0.0017 0.0017 0.0016 0.0015 0.0014 0.0013 0.0013 0.0012 0.0012 0.0011 0.0010 0.0010 0.0009 0.0009 0.0008 0.0008 0.0008 
-79.199 -14.316 
324 1.316 0.00479 
874 10.000 0.91011 
589 10.000 0.19710 
637 0.201 -0.00316 
759 10.000 0.17717 
775 0.000 -0.13781 
794 10.000 0.05705 
262 0.000 -0.15351 
604 2.098 0.29781 
470 10.000 0.14330 
166 9.898 -0.03788 
795 9.922 -0.02100 
865 10.000 0.43031 
873 10.000 1.14111 
664 0.000 -0.05954 
412 10.000 0.39266 
611 0.000 -0.17472 
596 0.354 0.01328 
645 0.000 -0.07433 
538 0.402 0.04876 
148 0.000 -0.16374 
579 0.706 0.01632 
32 0.000 -0.38564 
700 0.000 -0.21692 
518 0.000 -0.12290 
832 10.000 1.22517 
515 0.062 0.01999 
112 0.000 -0.32454 
489 0.368 0.04643 
510 0.267 0.03659 
48 0.000 -0.15575 
814 10.000 0.78997 
384 0.000 -0.18254 
452 0.330 0.07408 
143 0.000 -0.10333 
413 7.574 -0.19715 
247 0.000 -0.20475 
406 7.550 -0.01919 
17 0.503 0.04367 
717 0.000 -0.25706 
573 0.000 -0.06975 
812 10.000 0.60872 
582 10.000 0.25855 
446 0.000 -0.16592 
477 6.967 0.16400 
995 10.000 0.54949 
58 8.746 0.22347 
74 0.000 -0.12329 
640 0.604 -0.12051 
597 0.184 0.02686 
222 0.607 -0.12956 
219 10.000 0.03230 
630 0.171 -0.11323 
923 10.000 0.66983 
737 10.000 0.12453 
462 0.000 -0.19981 
438 9.975 -0.03475 
850 10.000 1.00480 
952 10.000 0.87926 
948 10.000 0.80684 
899 10.000 0.29713 
767 0.000 -0.09384 
333 9.378 -0.05765 
536 10.000 0.24911 
949 10.000 0.51554 
466 10.000 0.03904 
884 10.000 0.58405 
967 10.000 0.55507 
183 10.000 0.09301 
458 10.000 0.16924 
780 10.000 0.27000 
766 10.000 0.47163 
904 10.000 0.42022 
